after,complaint
bca skrg klw buka aplikasi nyalahin lokasi gitu  bikin ribet aja  ,1.0
narik uang rb aja bikin susah kang parkir ,1.0
bayar qris struk gk sampe sedot x ,1.0
atur bca aneh aneh banget pakai hidup lokasi muak banget dgn bca ,1.0
bca skrg klw buka aplikasi nyalahin lokasi gitu  bikin ribet aja  ,1.0
bca gk proses dgn cepat  nasabah palakin doang biaya bulan ,1.0
min mbca lampu indikator nya biru error kah  kemarin transaksi gak ,1.0
min bca lgi kendala uang sayang masuk nih rekening,1.0
kode otp  pulsa banget,1.0
lemottt ya    loading mulu akses apa,1.0
verifikator wajah ngga bantu  gagal mulu log in pdhl udh ngga burem ujung nya kantor cabang,1.0
ngisi pulsa bca mobile  pulsa kaga masuk masuk  au dahh nyangkut dmn   ,1.0
update notif masuk uang  gimana   ,1.0
kirim ganti kartu cc bca dah ampe bulan  gmna tracking nya ,1.0
                 ,0.0
kirim ganti kartu cc bca dah ampe bulan  gmna tracking nya ,1.0
mbanking lemottt transaksi lelet banget ,1.0
isi flazz gak nih  i try kali kali tetepp gak ,1.0
update notif masuk uang  gimana   ,1.0
blu bca eror mulu dah  sinyal wifi kenceng internet jg kenceng  load ,1.0
logout  gak apain verifikasi gak ,1.0
update notif masuk uang  gimana   ,1.0
mbanking lemottt transaksi lelet banget ,1.0
kali bayar tagih pke bca  eror gitu   demen bgt eror sih tae ,1.0
blu bca eror mulu dah  sinyal wifi kenceng internet jg kenceng  load ,1.0
isi flazz gak nih  i try kali kali tetepp gak ,1.0
ngisi pulsa bca mobile  pulsa kaga masuk masuk  au dahh nyangkut dmn   ,1.0
blu bca eror mulu dah  sinyal wifi kenceng internet jg kenceng  load ,1.0
kirim ganti kartu cc bca dah ampe bulan  gmna tracking nya ,1.0
min baca dm ku saldo ku ilang pas transaksi qris,1.0
sapa min,0.0
mbca bgt gagal login sih  gembel bgt apk lu min ,1.0
pliss  min tolong ambil uang rek  salah konsumen bca digital mna uang sya tba kuras habis,1.0
bayar pake qris bca bikin malu  udah scan hasil ngga masuk merchant ,1.0
sulit bgt dah verifikasi wajah  ilangin aja lahh  ribet bgt ,1.0
gmn dah  verifikasi wajah ajah nggak  pdhl udh ngikutin arah  rungkad rungkad  ,1.0
bca skrg klw buka aplikasi nyalahin lokasi gitu  bikin ribet aja  ,1.0
atur bca aneh aneh banget pakai hidup lokasi ,1.0
update gagal verifikasi  kalo utk update jgn update ,1.0
bayar pake qris bca bikin malu  udah scan hasil ngga masuk merchant ,1.0
bayar qris struk gk sampe sedot x ,1.0
gmn dah  verifikasi wajah ajah nggak  pdhl udh ngikutin arah  rungkad rungkad  ,1.0
bca skrg klw buka aplikasi nyalahin lokasi gitu  bikin ribet aja  ,1.0
bca jelek  bagus ,1.0
bayar qris struk gk sampe sedot x ,1.0
sulit bgt dah verifikasi wajah  ilangin aja lahh  ribet bgt ,1.0
wahhh gilaaa gilaaaa    gak salah tuh debit card biru potong adminya rb   ,1.0
wahhh gilaaa gilaaaa    gak salah tuh debit card biru potong adminya rb   ,1.0
bca jelek  bagus ,1.0
sulit bgt dah verifikasi wajah  ilangin aja lahh  ribet bgt ,1.0
gmn dah  verifikasi wajah ajah nggak  pdhl udh ngikutin arah  rungkad rungkad  ,1.0
min nanya gak buka rekening bank ktp daerah ,0.0
pakai bca banget trouble klw mao cek saldo transfer ,1.0
halo min  bca id kode akses m bca beda ya ,0.0
hallo min  kartu kredit expired udah kirim yg  lelet ya proses ,1.0
undi udah undi bom ya  gak siar langsung gitu ,0.0
admin ngajuin credit card dibca gmn,0.0
hai min  ganti atm yg hilang repot banget gara gara sidik jari baca ,1.0
kirim ganti kartu cc bca udah bulan  gmna min ,1.0
kirim ganti kartu cc bca udah bulan  gmna min ,1.0
selamat siang  ka nanya qriss merchant bca udah brapa hati ko pncairannya ga ya ynh kaya d merchant ya  d merchat rb  pencairanya rb banget ga  y ,0.0
greget bgt dah kalo ngobrol sma cs bca,1.0
sumpah yaa aplikasi lot nya parahh  device ip kadang butuh menit buka,1.0
uang qris merchant nggk masuk  qris bca  gmna tuh min  ,1.0
dpt x tlp ngaku bca  ngirim kartu kredit  nggak ngajuin ,0.0
scan qris lamaaa nya karuan ,1.0
kartu kredit visa batman kena iur tahun rb mahal banget sih min ,1.0
emng update ios yg spek  modalin lahh biat beli hp   ,1.0
ui nya oke  tapi heran nya eror mulu  kocak,1.0
bayar qris bca gagal mulu ya min ,1.0
eeaalahhh perkara tanda tangan aja kga buka rekening ,1.0
maintenance fitur   pdhl butuh cepat,1.0
umkm jebol bca biaya adminnya mahal bulan ,1.0
inovasi kartu kredit bca aplikasi mbca biar qris  bank udh ,1.0
umkm gua pakai qris bca duit nggak masuk tekor banget ,1.0
bca umkm  iur tabung aja mahal bgt ,1.0
aplikasi bca superrr lemotttt  pas jam makan siang ,1.0
top up flazz lot bgt ,1.0
bank bca kaya keluarga,1.0
tolong donk kasih akses guna ios bawah    ,1.0
halo ka  bca tabung pake m-banking ga ya ,0.0
gua sih udh gk bca  semenjak tau bca laba besar nikmatin,1.0
bayar qris hasil aplikasi  riwayat merchant nggak masuk ,1.0
bayar qris hasil aplikasi  riwayat merchant nggak masuk ,1.0
nggak sih min kau aplikasi aja ,1.0
bayar qris hasil aplikasi  riwayat merchant nggak masuk ,1.0
qris merchant bca hilang saldo tdk masuk rekening  kacau bca ,1.0
busettttt superrr lemottttt lahhh aplikasi bca,1.0
ngapain nyimpen bca  laba gede hartono cs ,1.0
tarik tunai duit jelek banget atm bca  daerah indomaret pademangan jakpus ,1.0
lagi gua bayar qris bca nggk masuk jual ,1.0
pusing gua bca banyak aplikasi  ,1.0
ngapain pake bca  hartono kaya,1.0
crash mybca not responding ulang kali restart hp ,1.0
prestasi bagong wkwkwkkwk,0.0
bca bank rumit banyak apk ,1.0
udh nggk pake bca,0.0
bca rumit,1.0
invest bos yg kaya hatono cs ,1.0
hp gua lot laah banyak aplikasi males gua pakai bca ,1.0
                 ,0.0
crash mybca not responding ulang kali restart hp ,1.0
hartono ooh hartono kau kaya raya iur tabung ,1.0
haduuh invest bca  yg kaya yaa hartono ,1.0
halo min  min kalo atm udh thn ga lg,0.0
bca rumit,1.0
invest bos yg kaya hatono cs ,1.0
ngapain pake bca  hartono kaya,1.0
inovasi kartu kredit bca aplikasi mbca biar qris  bank udh ,1.0
gua kena biaya k coi admin bulan rb ,1.0
hallo min  tanyaa kalo my bca jenis rek tabung lihat   tolong bantu ya min,0.0
gilaaa bln qris kga kelar cuman lapor aja  pasa kaga kerja nih roman roman nya,1.0
kak tarik tunai taiwan gak ya masuk kode,0.0
hartono kaya ,1.0
hartono kaya ,1.0
kelas bca aplikasi lemottttttttt bangetttt ngetttt  serius biarin aja gtu lemottt    ,1.0
fixing versi web nya  export mutasi logout mulu   trs hrs nunggu menit  kali kali waiting time bgt ,1.0
fixing versi web nya  export mutasi logout mulu   trs hrs nunggu menit  kali kali waiting time bgt ,1.0
mbca bgt gagal login sih  gembel bgt apk lu min ,1.0
waaw invest bca   ,1.0
log out  bener bener aplikasi bca ga jelasssss,1.0
min aktifin notifikasi my bca gimana notif uang masuk uang ngga detec,0.0
call center hallo bca gk tau adab  gua tlp antri  eeh matiin,1.0
gilaaaaa bayar qris aja gak  gimana min   ,1.0
haaallo mimin bca  proses doong lapor gua ,1.0
dgn ios ver    iphone s  iphone  knp update baru syarat minimal ios ver      diskriminasi nih bca  kecewa   ,1.0
top up flazz lot nya ampun dah  jaring baik donk,1.0
bca gk proses dgn cepat  nasabah palakin doang biaya bulan ,1.0
lelet anat gak sat set nih  gak proses cepat      bisa palakin nasabah doank biaya bulan,1.0
gilaaaaa bayar qris aja gak  gimana min   ,1.0
top up flazz lot nya ampun dah  jaring baik donk,1.0
lelet anat gak sat set nih  gak proses cepat      bisa palakin nasabah doank biaya bulan,1.0
top up flazz lot nya ampun dah  jaring baik donk,1.0
tolong min customercare nya pda ajarin sopan santun ,1.0
parah banget callcenter bca bikin lapor matiin ,1.0
menu  about  mbanking  kocak   bilang hapus about  about nya   ,1.0
sampe min keluarin aplikasi nyusahin nasabah mulu ,1.0
heran baaaanget layan hallo bca layan konsumen nggk nyambung ajak ngomong ,1.0
gencar nawarin invest  benahin tuuh layan kau call centernya bobrok ,1.0
lelet anat gak sat set nih  gak proses cepat      bisa palakin nasabah doank biaya bulan,1.0
menu  about  mbanking  kocak   bilang hapus about  about nya   ,1.0
bikin bca force closed mulu dah  aneh bener  ,1.0
update gagal verifikasi  kalo utk update jgn update ,1.0
bikin bca force closed mulu dah  aneh bener  ,1.0
menu  about  mbanking  kocak   bilang hapus about  about nya   ,1.0
heran baaaanget layan hallo bca layan konsumen nggk nyambung ajak ngomong ,1.0
log out  bener bener aplikasi bca ga jelasssss,1.0
bca skrg klau buka aplikasi nyalahin lokasi gitu  bikin ribet aja boros batre hp ,1.0
dgn ios ver    iphone s  iphone  knp update baru syarat minimal ios ver      diskriminasi nih bca  kecewa   ,1.0
update gagal verifikasi  kalo utk update jgn update ,1.0
atur bca aneh aneh banget pakai hidup lokasi muak banget dgn bca ,1.0
bank bca nggak sahabat rakyat jelata,1.0
tolong benah layan bca cabang  tukang parkir liar ,1.0
udah males pake bca  admin bulan atm nggk  bulan x potong,1.0
bca pelit banget nasabah loyal nggk ngasih gift ,1.0
bayar pake qris bca bikin malu  udah scan hasil ngga masuk merchant ,1.0
aplikasi dikit dikit mesti update  ribettttt bangetttt,1.0
wahhh gilaaa gilaa  gak salah tuh debit card biru potong adminya rb bulan mahal njiir ,1.0
iur bulan yeee hartono duit yaa ,1.0
dgn ios ver    iphone s  iphone  knp update baru syarat minimal ios ver      diskriminasi nih bca  kecewa   ,1.0
hartono ooh hartono gk sahabat rakyat jelata,1.0
astaga lemott bgt  tarik tunai cardless lemottnya ,1.0
heran baaaanget layan hallo bca layan konsumen nggk nyambung ajak ngomong ,1.0
update gagal verifikasi  kalo utk update jgn update ,1.0
bikin bca force closed mulu dah  aneh bener  ,1.0
menu  about  mbanking  kocak   bilang hapus about  about nya   ,1.0
heran baaaanget layan hallo bca layan konsumen nggk nyambung ajak ngomong ,1.0
log out  bener bener aplikasi bca ga jelasssss,1.0
waaawww aplikasi min ruwet hidup mu ,1.0
bca skrg klau buka aplikasi nyalahin lokasi gitu  bikin ribet aja boros batre hp ,1.0
dgn ios ver    iphone s  iphone  knp update baru syarat minimal ios ver      diskriminasi nih bca  kecewa   ,1.0
update gagal verifikasi  kalo utk update jgn update ,1.0
umkm nggak maju bca banyak embel potong ,1.0
haduhhh tf an masuk potong rb  kacau bca,1.0
registrasi gagal mulu  udah motong pulsa krna ulang registrasi,1.0
                 ,0.0
aplikasi  sibuk trus smpe jam   suruh nunggu bbrp  ilahh gak beres,1.0
bantu  sya telp x suara trs jaring bagus,1.0
aplikasi gak halobca nya  pdhl jaring stabil  tpi pura gak denger,1.0
aplikasi halobca butut bgt dah ,1.0
sih kalo nelpon kaga kedengeran sono    pdhl izin mikropon aktif    ,1.0
                 ,0.0
payah bantu  bank guna halobca   ,1.0
lelet banget pdhl jaring bagus  modal dikit apk  minimal pake server yg bagus gitu,1.0
teliti  ampe nama sesuai ktp,1.0
kak tolong  no rek syarat kerja  suru fotocopi norek nya  aman kah kalo kasi fotocopi norek d buku tabung,0.0
daftar mbanking masukin sms kosong sih gak tulis verifikasi gtu,1.0
lemott masuk app utk bayar qris susah woiii,1.0
kelas bca eror yaa  sampe uninstall mybca mbanking bca nya,1.0
                 ,0.0
halahhhh ngisi pulsa k udh potong saldo gk masuk masuk pulsa nya,1.0
ok,0.0
rek say udah kblokir ap hidupkn lg,0.0
asslzmualsikum,0.0
kemarin tf brimo tp transaksi gagal mulu  yaa    ,1.0
salam kenal,0.0
sabar,0.0
aplikasi ngelag  bayar wifi yg gak bikin lemott payment dll   hadehhhh,1.0
subhanallah,0.0
mantul,0.0
ter palu,0.0
salam,0.0
slmt pg  smngt sambut hr yg br  sy dr ptk,0.0
salam kenal,0.0
joss,0.0
  anak desa   mohon bantu pakai bekas ,0.0
alahhh server gampang down  pas lgi urgent ga bantu,1.0
kelas bca aplikasi mobile dah  update eror mulu   heran bgt gw,1.0
eror mulu nih,1.0
sdh sold out  ndk bs order,0.0
super lemott  super ngelag gaa bgt deh,1.0
sapa pake pt,0.0
kesini parah  indikator merah pdhl udh restart udh clean cookies  udh idupin matiin mode pesawat  bener bener rungkaddd,1.0
baik sistem mulu sih bca  riweh atuh ihh,1.0
bagus banget nih mbca,0.0
baru transaksi transfer  knp yaa   ,1.0
mind bca ganggu yaa,1.0
ganggu kek nya  ga ya  butuh,1.0
eror gak login akun mybca mobile utk tlp halo bca gak,1.0
eror kah bca min ,1.0
bca ko ganggu trs yaa,1.0
udah kga aktifin mbanking nomor yg suruh registrasi atm   aduhhhh ribetnyaaaa,1.0
udah verifikasi aplikasi hallo bca tetep gak masuk,1.0
stresss bgt saldo suka ilang  ngaco bca,1.0
ga park seo joon yg bca,0.0
kak cek dm ya  makasih,0.0
yukk yuuu bawa kim sohyun biar ga kalah mandiri,0.0
min baca dm ku dongg,0.0
sinyal aman lancar  login aja lemott banget  buka mbanking laen ko lancar  tolong baik aplikasi mybca,1.0
eror  ampe scan qr ajah gak,1.0
eror  udh gitu lemottt nya ampun   update bagus parah,1.0
ganti hp  udh isi ktp kenal wajah ehh gagal trs  udh pake data  wifi  foto terang ngga woiii,1.0
bca mobile skrng ribet  hapus inbox ajah susah pulsa coba,1.0
aplikasi update  kalo gak update gak pakai,1.0
ganti sedia qris min  ga sedia gopay ga bca langsung ,0.0
min  merchant bca  test scan qris ga saldo masuk ya aplikasi merchant bca ,0.0
ok,0.0
halo bestie,0.0
masuk mybca verifikasi email   bgtu verifikasi jwbn nya aktif masuk akun   aplikasi nya konyol,1.0
hai selamat pagi izin kalo ken liat gmail taut rec bca gimana yaa nya email gada notifikasi bca terimakasih,0.0
bca  kemarin poin undi  aja ya  tdk valid  bca yg kasih turun ya poin undi ,0.0
nerima sms konfirmasi yaa masuk no kartu   ,1.0
gagal bayar atw transfer  proses refund nya lamaaa betulll,1.0
min kalo bikin kartu kredit minimal umur brapa ,0.0
maintenance fitur bca utk dpt  pdhl butuh dlm cepat,1.0
hadehhh bca aja kalo potong admin dll gk mutasi,1.0
sudag masuk angka nomor kartu kirim sms tdk  entah knp bca   ,1.0
semenjak update suka  loading nya,1.0
min malam transaksi pake qris gagal saldo tetep potong gimana nihh   ,1.0
prtma min dapt saldo gak  btw pmkai bca loh  jdi lh,0.0
yaailahh ngga sengaja pencet logout langsung  pass coba login ngga trs,1.0
lemottt amattt dahhh  gak masuk  kode verifikasi gak nongol,1.0
kak m baking masukakn kode akses ga masuk tulis -sementara transaksi proses,0.0
kak bca aju pinjam gak  suami karyawan gaji pake kartu bca,0.0
masuk susah nggak otp yg muncul  coba kelas bca,1.0
ikut min,0.0
kak  bca rilis fitur tap to pay ya ,0.0
kode otp gk masuk padhl nomor pulsa  sdh smpe nunggu jeda menit otp tdk masuk,1.0
udah ikut ig min journey,0.0
moga rejeki,0.0
yeay terimakasih udah ngadain  buktibaktiku bikin semangat sharing yg manfaat,0.0
kak  kalo udh pnya rek xpresi bca tp buka rekening yg tabung ku dgn nama yg gk ya  jd nama rekening bca  terimakasihhh,0.0
tolong donk utk bca  knp susah bgt verifikasi gtu   pdhl sblmnya lancar aja dah  dah ulang ulang kali loh ttp gagal verifikasi    hadehhh repot bgt sih,1.0
aplikasi halo bca buruk  bantu tdk solusi,1.0
isi pulsa pakai m bca saldo kurang pulsa masuk udah lapor halo bca kali gak tindak nya d anggap receh,1.0
loading gambar splash screen bikin kadang crash   promosi splash screen sih  ,1.0
min klo applikasi halo bca  login ny bgmna   bca id tuh gmna ,0.0
min ngeuh  pake bca tabung yg gk akses mbankingnya  transfer masuk saldo potong ya,1.0
bug  tolong baik  login  login kedapetan bug gitu,1.0
ngga masuk halo bca  knp yaa   ,0.0
min  kalo daftar rekenjng bca online pake nomer jepang ,0.0
google pixel a g zte a bca mobile  stuck pesan,1.0
bug nya  tolong baik   login,1.0
ribet kalo pake bca kudu hp nya bagus dlu woiii,1.0
internet lgi stabil verifikasi kode akses mbanking bilang koneksi internet stabil     ,1.0
beli pulsa mbanking bca  saldo potong tpi pulsa engga masuk,1.0
kalo isi token plissss dotur history atw save no idpel nya   ngisi ulang trs gaa inget  repot bgt,1.0
tolong hilang tukang parkir kacab bca  menganggu,1.0
masukin bca id password  bgt muncul otp nya,1.0
knp dah  solusi gmn min   ,1.0
dri kmrn udh daftar id bca kali kali tp gagal mulu sms verifikasi,1.0
eror  trus pas verifikasi ulang pesan yg kirim nya tdk muncul jga,1.0
internet stabil verifikasi kode akses mbanking  bilang koneksi stabil,1.0
mybca poket valas lemotttt  ditlp cs fine fine aja  pdhl suka eror transaksi gagal,1.0
hadehhh aktifasi aja ga pulsa rb  kaya nya dah,1.0
pake prinsip hati hati  tpi sistem nya bobrok,1.0
masuk   verifikasi kali aja gagal,1.0
ngisi flazz nggak  lgi eror   ,1.0
tari reksadana bursa hri tpi bursa blm yg masuk  ,1.0
media sosial bikin brand kenal xd,0.0
tolong hrd bca kalo rekrut cs  seleksi cs nya yg kompeten gtu ,1.0
buka rekening kalo fitur video record selfie  tanpa video call  karna kondisi jaring yg stabil,1.0
kak kemarin yg tf bca bri  bukti tf nya hasil tpi uang nya masuk bank tuju,1.0
kak  dapetin voucher k buka rekening gimana ya ,0.0
mohon utk update tambahin fitur top up e wallet org top up e wallet,0.0
qris bca tolong notifikasi nya baik,1.0
karyawan nya layan nguap trs  tidur gitu,0.0
min gak aktif ulang rekening bca  mati pake rekening rdn,0.0
sulit bgt yak verifikasi wajah hadehhh    udh bulan gk,1.0
pdhl data dgn rekening tabung kartu kredit  cabang  nyusahin org aja,1.0
bca sdh bisnis tarik pulsa sampe habis  verifikasi gak ampe pulsa sedot abis,1.0
terang tdk valid pdhl bnr kode  knp blokir,1.0
daftar blokir sih   kode otp udh masukkin gagal,1.0
transfer dri mandiri bca saldo kurang  pas cek aplikasi mybca saldo blm masuk  gmn min    ,1.0
guna bca  sayang kali lahh  kalo masukkin password yg salah  ehh langsung blokir  repot,1.0
kalo beli tiket maksud nya gmn  nya masuk nya gratis ,0.0
seruuuuu ,0.0
aduhh sayang bgt udah transaksi dri dana masuk,1.0
bagain verifikasi wajah salah trs  udh ulang ulang kali nggak,1.0
minimal kirim otp opsi sms lahh,1.0
mohon depan nya utk tarik tunai transfer biar lancar transaksi  krna pelosok desa butuh utk tarik tunai,1.0
balikin lahh menu edit inbox nya,1.0
sumpah yaa aplikasi lot nya ampun ampun     device ip kadang butuh menit buka,1.0
pas login aplikasi notif nya sllu merah ya   salah    ,1.0
sumpah min ribet bgt gak menu edit hapus bekas transfer,1.0
tolong donk kasih akses guna ios bawah    ,1.0
kode otp nya gk kirim kirim  pdhl nomor loh,1.0
hallo ka rekening online pake simcard yg dlu rek  rek yg dlu tu dah mati blok gak   pakai simcard aja ,0.0
halo kak  beli token listrik mybca jam  pagi tgl sept  transaksi gagal  saldo  mutasi potong  kak  notif email gagal jga keluar mybca ,1.0
nasabah bca kecewa  krn gak pake mbanking ios ,1.0
info,0.0
mariyah,0.0
x,0.0
info info,0.0
